DBA,BORO,CUISINE DESCRIPTION,GRADE,address_full,lat,long,VIOLATION CODE
'CESCA,MANHATTAN,Italian,A,166 W 75TH ST 10023.0,40.78031970000001,-73.9799267,2
1 OR 8,BROOKLYN,Japanese,A,66 SOUTH    2 STREET 11249.0,40.7142531,-73.96544809999999,3
101 KENNEDY FRIED CHICKEN,QUEENS,American,Z,10815 101ST AVE 11419.0,40.6875964,-73.8350257,3
1080 BREW,QUEENS,CafÃ©/Coffee/Tea,Z,1080 WYCKOFF AVE 11385.0,40.6943316,-73.90280659999998,1
110 KENNEDY FRIED CHICKEN,STATEN ISLAND,Chicken,A,110 VICTORY BLVD 10301.0,40.637415000000004,-74.079978,2
120 BAY CAFE,STATEN ISLAND,American,A,120 BAY STREET 10301.0,40.6394665,-74.07579390000001,2
18 RESTAURANT,MANHATTAN,Jewish/Kosher,A,240 EAST   81 STREET 10028.0,40.774702000000005,-73.9546495,4
1803,MANHATTAN,American,A,78 READE ST 10007.0,40.7154284,-74.0072035,3
2 BROS PIZZA,MANHATTAN,Pizza,Z,113 E 125TH ST 10035.0,40.805003,-73.938056,4
2 BROS PIZZA/ CORVO COFFEE,MANHATTAN,Pizza,Z,542 9 AVENUE 10018.0,40.7569851,-73.9934482,6
21 HOME'S KITCHEN,MANHATTAN,Chinese,A,22 EAST   21 STREET 10010.0,40.739474200000004,-73.98910699999998,2
212 HISAE'S,MANHATTAN,Asian,A,212 EAST 9 STREET 10003.0,40.729667,-73.9887628,2
21ST LIC DELI & GROCERY,QUEENS,Delicatessen,Z,4344 21ST ST 11101.0,0.0,0.0,3
22 STR CONCESSION STAND,BROOKLYN,American,A,3052-3078 W 21ST ST 11224.0,40.573082899999996,-73.987686,2
27 MORTON,MANHATTAN,Eastern European,A,27 MORTON ST 10014.0,0.0,0.0,3
3 IN 1 KITCHEN,BROOKLYN,American,A,4902 FORT HAMILTON PKWY 11219.0,40.6384269,-73.99801500000001,3
3 SHEETS SALOON,MANHATTAN,American,A,134 WEST    3 STREET 10012.0,40.7307011,-74.0010231,2
3-J RESTAURANT AND PIZZA,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,554A PROSPECT AVE 10455.0,40.8124435,-73.904108,2
310 BOWERY BAR,MANHATTAN,American,A,310 BOWERY 10012.0,40.724983,-73.992671,1
591 CHICKEN CUTLET,QUEENS,Chinese,Z,13655 ROOSEVELT AVE 11354.0,40.760285100000004,-73.82817159999998,1
5TH AVENUE ASIAN TASTE RESTAURANT,BROOKLYN,Chinese/Japanese,A,718 5TH AVE 11215.0,40.6605091,-73.99452769999998,3
61 LOCAL,BROOKLYN,American,A,61 BERGEN STREET 11201.0,40.6871184,-73.9908801,3
619 BAR & RESTAURANT EL SALVADORENO,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,395 E 151ST ST 10455.0,40.8176921,-73.91733459999998,3
6321 YUAN BAO,BROOKLYN,Chinese,Z,6321 8 AVENUE 11220.0,40.633330900000004,-74.01164109999998,5
678 DELI,QUEENS,Delicatessen,A,8820 VAN WYCK EXPY 11418.0,40.7015971,-73.81675369999998,4
68 MEI MEI BAKERY,BROOKLYN,Chinese,Z,7814 NEW UTRECHT AVENUE 11214.0,40.6130429,-74.00101679999999,2
69 BAR LOUNGE,QUEENS,"Bottled beverages, including water, sodas, juices, etc.",A,3821 69 STREET 11377.0,40.7465865,-73.89607079999998,3
69 PIZZERIA,QUEENS,Pizza,Z,4917 69TH ST 11377.0,40.7370431,-73.8956877,6
6B,MANHATTAN,American,A,60 E 42ND ST 10165.0,40.7521961,-73.9787133,2
800Â° Woodfired Kitchen,MANHATTAN,Mediterranean,A,1 E 33RD ST 10016.0,40.7432283,-73.97579440000001,1
818 FAST FOOD,BROOKLYN,Chicken,Z,818 NOSTRAND AVE 11216.0,40.670539700000006,-73.95065439999998,7
99Â¢ FRESH PIZZA,MANHATTAN,Pizza,A,143 W 40TH ST 10018.0,40.75473179999999,-73.9873411,3
A SAFFRON THREAD,MANHATTAN,Indian,Z,98 CHAMBERS STREET 10007.0,40.7145842,-74.00777629999999,5
A SUSHI,QUEENS,Japanese,A,7144 AUSTIN ST 11375.0,40.71949559999999,-73.8433435,1
A-POU'S TASTE,BROOKLYN,Asian,Z,963 GRAND ST 11211.0,40.7132478,-73.9361428,9
ABAYA THAI CUISINE,MANHATTAN,Thai,A,318 W 36TH ST 10018.0,40.7537665,-73.99346849999998,2
ABBA BAR AND GRILL,BROOKLYN,Tapas,A,492 GRAND ST 11211.0,40.7107816,-73.95145059999999,2
ACTS III BAGELS,MANHATTAN,Bagels/Pretzels,Z,236 W 135TH ST 10030.0,40.8156141,-73.9451438,4
ADDICTIVE WINE BAR & TAPAS 1,QUEENS,Tapas,A,8701 NORTHERN BLVD 11372.0,40.756261200000004,-73.8806173,2
ADORO LEI,MANHATTAN,Pizza,A,287 HUDSON ST 10013.0,40.725599700000004,-74.0078786,2
AFGAN KABAB AND GRILL HOUSE,BROOKLYN,Afghan,A,1015 MANHATTAN AVE 11222.0,40.733529299999994,-73.95520520000001,2
AGNANTI RESTAURANT,QUEENS,Greek,Z,1906 DITMARS BOULEVARD 11105.0,40.7809771,-73.9178665,5
AGORA TAVERNA,QUEENS,Greek,A,7009 AUSTIN STREET 11375.0,40.721022999999995,-73.8466183,2
AI FIORI,MANHATTAN,Italian,A,400 5 AVENUE 10018.0,40.750183299999996,-73.98375899999998,3
AKI SUSHI,MANHATTAN,Japanese,A,1531 YORK AVE 10028.0,40.7726799,-73.9497983,2
