DBA,BORO,CUISINE DESCRIPTION,GRADE,address_full,lat,long,VIOLATION CODE
AKINO,QUEENS,Japanese,Z,8280 BROADWAY 11373.0,40.7411913,-73.8813926,4
AL CHOLO WEST INDIAN BAKERY & HEALTH FOOD STORE,BRONX,Bakery,A,3825 WHITE PLAINS RD 10467.0,40.88449179999999,-73.8626041,1
AL HORNO LEAN MEXICAN KITCHEN INC,MANHATTAN,Mexican,Z,417 W 47TH ST 10036.0,40.76215,-73.9910513,7
ALADDIN,QUEENS,Indian,Z,2906 36 AVENUE 11106.0,40.7571292,-73.93125140000001,3
ALBERT'S COFFEE SHOP,BRONX,American,A,405 HUNTS POINT AVE 10474.0,40.80964779999999,-73.8811637,2
ALGONQUIN HOTEL/BLUE BAR,MANHATTAN,American,Z,59 WEST   44 STREET 10036.0,40.7559927,-73.9823172,5
ALI'S ROTI SHOP,BROOKLYN,Caribbean,A,337 UTICA AVENUE 11213.0,40.6664446,-73.9311405,2
ALL NATIONS,BROOKLYN,Caribbean,A,1091 UTICA AVENUE 11203.0,40.6460994,-73.9294493,2
ALLEY 41,QUEENS,Chinese,Z,13645 41ST AVE 11355.0,40.7591218,-73.82800859999998,9
ALMA,BROOKLYN,Mexican,Z,187 COLUMBIA STREET 11231.0,0.0,0.0,6
AMARANTH,MANHATTAN,French,A,21 EAST   62 STREET 10065.0,40.7657854,-73.9703126,2
AMARIN CAFE,BROOKLYN,Thai,A,617 MANHATTAN AVE 11222.0,40.7234544,-73.95087900000001,2
AMAZON NYC,MANHATTAN,American,A,7 W 34TH ST 10001.0,40.749016499999996,-73.9852986,2
AMBASSADOR FOOD SERVICES,QUEENS,American,Z,807 38 AVENUE 11101.0,0.0,0.0,4
AMBY'S RESTAURANT,BROOKLYN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",Z,46 RALPH AVENUE 11221.0,40.6886935,-73.92407589999998,1
AMC THEATRES,QUEENS,American,Z,19002 HORACE HARDING EXPRESSWAY 11365.0,40.741150399999995,-73.783741,3
AMERICAN MUSEUM OF THE MOVING IMAGE,QUEENS,Caf̩/Coffee/Tea,A,3601 35 AVENUE 11106.0,40.756345399999994,-73.92394959999999,2
AMERICAN WHISKEY,MANHATTAN,American,Z,247 W 30TH ST 10001.0,40.7493213,-73.99402579999999,5
AMORINO,MANHATTAN,Italian,A,60 UNIVERSITY PLACE 10003.0,40.732905,-73.99388520000001,2
AMPLE HILLS CREAMERY,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",A,600 11TH AVE 10036.0,40.7623377,-73.99675789999998,1
AN CHOI,MANHATTAN,Vietnamese/Cambodian/Malaysia,A,85 ORCHARD STREET 10002.0,40.717948,-73.99045199999998,2
ANA'S PASTRY SHOP,MANHATTAN,Bakery,Z,701 WEST  180 STREET 10033.0,40.8497744,-73.9367005,5
ANDELLAS PIZZERIA,STATEN ISLAND,Pizza/Italian,A,1281 ARTHUR KILL RD 10312.0,40.566416,-74.18312470000002,3
ANEJO TRIBECA,MANHATTAN,Mexican,A,31 WALKER ST 10013.0,40.7192882,-74.00421279999998,3
ANGELICA'S CAFE,BROOKLYN,Sandwiches/Salads/Mixed Buffet,A,424 CHURCH AVE 11218.0,40.64415229999999,-73.9758372,3
ANGELINA BAKERY,MANHATTAN,Bakery,A,575 8TH AVE 10018.0,40.7550198,-73.99185390000001,3
ANGLER,QUEENS,Seafood,A,NKA LAGUARDIA TERMINAL C 11369.0,40.771038,-73.86517950000001,0
ANGRY WADES,BROOKLYN,American,A,222 SMITH STREET 11231.0,29.749717800000003,-95.37637,3
ANTHONY'S AND SALS PIZZA EXPRESS,BRONX,Pizza,A,1809 WILLIAMSBRIDGE RD 10461.0,40.8503938,-73.85182499999998,3
ANTIQUE CAFE,MANHATTAN,Delicatessen,A,150 E 58TH ST 10155.0,40.7611177,-73.9681954,2
ANTONIO'S PIZZA,BROOKLYN,Pizza,A,318 FLATBUSH AVENUE 11238.0,40.6771339,-73.972701,1
ANTONIO'S TRATTORIA,BRONX,Italian,Z,2370 BELMONT AVENUE 10458.0,40.8542024,-73.88652239999998,6
APPLE GOURMET,MANHATTAN,American,Z,225 BROADWAY 10007.0,40.711749600000005,-74.00866669999998,6
APPLEBEE'S,BROOKLYN,American,A,1360 FULTON STREET 11216.0,40.679995299999995,-73.94660429999998,2
ARCHER PIZZA,BRONX,Pizza,A,1807 ARCHER ST 10460.0,40.837789,-73.86669289999998,3
AREPAS CAFE,QUEENS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,3307 36TH AVE 11106.0,40.7558176,-73.9276926,3
AREPPAS,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,954 3RD AVE 10022.0,40.7605284,-73.96755040000001,2
ARIA,MANHATTAN,Italian,A,117 PERRY STREET 10014.0,40.735187599999996,-74.00673859999998,2
ARIRANG HIBACHI STEAK HOUSE,STATEN ISLAND,Japanese,A,23 NELSON AVENUE 10308.0,40.5494184,-74.15062009999998,2
ARIRANG USA,QUEENS,Korean,Z,4104 163RD ST 11358.0,40.7613136,-73.8031089,5
ARIS POLLOS A LA BRASA,BROOKLYN,Spanish,Z,691 KNICKERBOCKER AVENUE 11221.0,40.6946549,-73.91081640000002,3
ARMANDO'S PIZZA,BROOKLYN,Pizza,A,1366 PENNSYLVANIA AVENUE 11239.0,40.647091700000004,-73.88259040000001,2
ARMANDO'S PIZZA,BROOKLYN,Pizza,A,1413 ROCKAWAY PARKWAY 11236.0,40.6456823,-73.9026454,2
ARMONIE,MANHATTAN,Italian,A,1649 PARK AVENUE 10035.0,40.7997213,-73.9426179,2
AROMA ESPRESSO BAR,MANHATTAN,American,A,100 CHURCH STREET 10007.0,40.713299299999996,-74.0101098,1
ART BIRD & WHISKEY BAR,MANHATTAN,Chicken,A,89 E 42ND ST 10017.0,40.752726200000005,-73.97722940000001,3
ARTHUR AVENUE CATERS,BRONX,Italian,A,611 CRESCENT AVENUE 10458.0,40.8537924,-73.8879777,3
ARTICHOKE BASILLE'S PIZZA,BROOKLYN,Pizza,A,9102 4TH AVE 11209.0,40.6191684,-74.03012700000001,2
ARTICHOKE BASILLE'S PIZZA & BAR,MANHATTAN,Pizza/Italian,Z,457 WEST   17 STREET 10011.0,40.7441255,-74.00649240000001,7
ARTISTIC STITCH SPORTS COMPLEX(PARTY PLACE),QUEENS,Pizza,A,7908 COOPER AVE 11385.0,40.7079193,-73.8725298,1
ASHOKA,MANHATTAN,Indian,A,1718 2ND AVE 10128.0,40.7798604,-73.9499656,2
ASIAM THAI CUISINE,MANHATTAN,Thai,A,259 FIRST AVENUE 10003.0,40.7321896,-73.9821995,3
ASIAN BOWL,QUEENS,Asian,A,10111 QUEENS BLVD 11375.0,40.7267018,-73.851636,2
ASIAN FUSION,MANHATTAN,Asian,A,2071 ADAM CLAYTON POWELL JR BLVD 10027.0,40.807907799999995,-73.9487513,2
ASO ROCK LOUNGE AND RESTAURANT,QUEENS,African,A,13824 FARMERS BOULEVARD 11434.0,40.6721789,-73.7644485,2
ASTORIA CAFE,QUEENS,Caf̩/Coffee/Tea,A,2608 HOYT AVE S 11102.0,40.772171,-73.920757,2
ATERES AVROHOM,BROOKLYN,Jewish/Kosher,A,75 ROSS STREET 11249.0,40.703987,-73.96375490000001,3
ATHEN'S GRILL & RESTAURANT,QUEENS,Mexican,A,3011 30 AVENUE 11102.0,40.7673421,-73.921791,3
ATLANTIC THEATER (van Beuren Kass Bar),MANHATTAN,Caf̩/Coffee/Tea,A,336 W 20TH ST 10011.0,40.744004,-74.00153499999998,2
ATLAS SOCIAL CLUB,MANHATTAN,American,A,753 9TH AVENUE 10019.0,40.76403029999999,-73.98877519999998,1
ATLAS STEAKHOUSE,BROOKLYN,Russian,A,943 CONEY ISLAND AVE 11230.0,40.6344935,-73.96697809999998,4
ATOMIC WINGS,QUEENS,Chicken,A,15923 HILLSIDE AVE 11432.0,40.7081956,-73.80202129999998,3
AU BON PAIN,QUEENS,American,A,7901 BROADWAY 11373.0,40.74447019999999,-73.8861336,2
AUNT MAE'S,BROOKLYN,Caf̩/Coffee/Tea,Z,871 3RD AVE 11232.0,40.657433600000005,-74.0040073,4
AUTENTICO TACOS AL SUADERO,QUEENS,Mexican,Z,8721 ROOSEVELT AVE 11372.0,40.7483088,-73.87868399999998,4
AVE COFFEE HOUSE,QUEENS,Caf̩/Coffee/Tea,A,4501 GREENPOINT AVE 11104.0,40.7420242,-73.9197527,3
AVE D PIZZERIA,MANHATTAN,Pizza,A,15 AVENUE D 10009.0,40.72056679999999,-73.97854099999998,4
AVENA DOWNTOWN,MANHATTAN,Italian,A,260 6TH AVE 10014.0,40.728903,-74.002161,2
AVENUE DINER,QUEENS,American,Z,9106 JAMAICA AVENUE 11421.0,40.69298819999999,-73.8534615,2
AVOCADERIA,MANHATTAN,Sandwiches/Salads/Mixed Buffet,Z,263 11TH AVE 10001.0,40.66901,-73.98887599999998,1
AVOCADO SUSHI,STATEN ISLAND,Japanese,A,4906 ARTHUR KILL RD 10309.0,40.5225242,-74.23852070000001,2
AVOCADO SUSHI II,STATEN ISLAND,Asian,Z,1919 HYLAN BLVD 10305.0,40.58306279999999,-74.09697129999998,3
AYURVEDA CAFE,MANHATTAN,Indian,A,706 AMSTERDAM AVENUE 10025.0,40.793109,-73.9714858,2
AZALEA,MANHATTAN,Italian,A,224 WEST   51 STREET 10019.0,40.7623127,-73.9848901,2
AZTECA RESTAURANT,QUEENS,Other,A,4012 QUEENS BLVD 11104.0,40.7432795,-73.9239266,4
AZUL TEQUILA MEXICAN RESTAURANT,BRONX,Mexican,A,783 LYDIG AVE 10462.0,40.8545624,-73.8643926,2
Akaru Sushi,BROOKLYN,Japanese,A,201 WYCKOFF AVE 11237.0,40.7025549,-73.9160757,3
B & Co.,MANHATTAN,Sandwiches/Salads/Mixed Buffet,A,22 PARK PLACE 10007.0,40.7127305,-74.00856530000001,3
B & H RESTAURANT,MANHATTAN,Vegetarian,A,127 SECOND AVENUE 10003.0,40.7283726,-73.98803389999998,2
B BAR AND GRILL,MANHATTAN,American,A,40 EAST    4 STREET 10003.0,40.7270718,-73.9919324,2
B.K. BURRITO MEXICAN GRILL,BROOKLYN,Mexican,A,3914 FORT HAMILTON PKWY 11218.0,40.643011,-73.991186,3
B66 CLUB,BROOKLYN,Russian,A,6612 NEW UTRECHT AVE 11219.0,40.622615,-73.998262,2
BABA COOL,BROOKLYN,American,A,64 LAFAYETTE AVE 11217.0,40.686984100000004,-73.97535719999998,4
BABY JANE,BROOKLYN,American,A,899 FULTON ST 11238.0,40.683786299999994,-73.9671852,2
BABY'S ALL RIGHT,BROOKLYN,American,A,146 BROADWAY 11211.0,40.7100002,-73.96353420000001,3
BACCHUS,BROOKLYN,French,A,409411 ATLANTIC AVENUE nan,40.676301200000005,-73.9081386,2
BAGEL BISTRO & DINER,STATEN ISLAND,American,A,1810 VICTORY BOULEVARD 10314.0,40.6127533,-74.12372810000002,3
BAGEL BOSS,QUEENS,Jewish/Kosher,A,6948 MAIN ST 11367.0,40.7300551,-73.8238472,2
BAGEL CAFE,BROOKLYN,Bagels/Pretzels,A,200 CLINTON ST 11201.0,40.6905225,-73.9945163,2
BAGEL CORNER,BRONX,Bagels/Pretzels,A,581 W 235TH ST 10463.0,40.88603519999999,-73.9110321,2
BAGELBERRY,QUEENS,Bagels/Pretzels,A,3113 30 AVENUE 11102.0,40.76683010000001,-73.92072329999998,2
BAGELICIOUS,QUEENS,Bagels/Pretzels,Z,6401 108 STREET 11375.0,40.732915500000004,-73.84931639999998,4
BAGELS & BIALYS,BROOKLYN,Bagels/Pretzels,Z,1203 QUENTIN RD 11229.0,40.6081425,-73.9606767,6
BAHARI ESTIATORIO,QUEENS,Greek,A,3114 BROADWAY 11106.0,40.761632899999995,-73.92491319999998,2
BAIT & HOOK,MANHATTAN,Seafood,A,231 2 AVENUE 10003.0,40.73258,-73.9850234,3
BAKER'S PIZZA,MANHATTAN,Pizza,Z,201 AVENUE A 10009.0,40.7294404,-73.98128609999998,4
BAKER'S PIZZA + ESPRESSO,MANHATTAN,Pizza,A,754 10TH AVE 10019.0,40.7654254,-73.99092279999998,2
BAKERY & PARTY SUPPLY BY MARTHA,BRONX,Bakery,Z,868 E 180TH ST 10460.0,40.8452166,-73.8833142,6
BALTHAZAR BAKERY,MANHATTAN,Bakery,A,80 SPRING STREET 10012.0,40.722604100000005,-73.9982235,2
BANHMIGOS,BROOKLYN,Vietnamese/Cambodian/Malaysia,A,178 LINCOLN PL 11217.0,40.675518200000006,-73.97433659999999,2
BANHMIGOS,BROOKLYN,Vietnamese/Cambodian/Malaysia,A,636 PARK PL 11238.0,40.674235100000004,-73.9569925,3
BAOBURG,BROOKLYN,Thai,A,614 MANHATTAN AVE 11222.0,40.723479100000006,-73.9504321,3
BAR,MANHATTAN,Other,A,4 PENN PLZ 10121.0,40.7505621,-73.99347089999998,0
BAR & RESTAURANT EL SALVADORENO,BRONX,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A,451455 MORRIS PK AVE nan,40.8465281,-73.85986869999998,2
BAR 58,MANHATTAN,American,A,538 W 58TH ST 10019.0,40.770233399999995,-73.9897563,1
BAR 718,BROOKLYN,"Bottled beverages, including water, sodas, juices, etc.",A,718 5 AVENUE 11215.0,40.6605091,-73.99452769999998,3
BAR A FRITES,MANHATTAN,American,A,225 LIBERTY ST 10280.0,0.0,0.0,2
BAR AT THE GARDEN,MANHATTAN,American,A,4 PENN PLZ 10121.0,40.7505621,-73.99347089999998,0
BAR BACON,MANHATTAN,American,A,836 9TH AVE 10019.0,40.7662484,-73.986672,2
BAR BRUNO,BROOKLYN,Mexican,Z,520 HENRY STREET 11231.0,40.6834148,-73.99996709999998,3
BAR COASTAL,MANHATTAN,American,Z,1495 1 AVENUE 10075.0,40.77189,-73.953422,4
BAR VELOCE,MANHATTAN,Italian,A,862 9TH AVE 10019.0,40.7670435,-73.98601020000001,3
BARAKA BUFFET,MANHATTAN,African,A,2546 FREDERICK DOUGLASS BOULEVARD nan,40.816843299999995,-73.94592309999999,3
BARAWINE,MANHATTAN,French,A,27 W 120TH ST 10027.0,40.80461529999999,-73.94751550000001,3
BARBARESCO,MANHATTAN,Italian,A,843 LEXINGTON AVENUE 10065.0,40.76538729999999,-73.9655758,2
BARBETTA RESTAURANT,MANHATTAN,Italian,A,319321 323 W. 46TH ST. nan,40.760337,-73.988948,4
BARCLAYS - QATAR AIRWAYS COURTSIDE KITCHEN,BROOKLYN,American,A,620 ATLANTIC AVENUE 11217.0,40.68264990000001,-73.97541319999998,2
BARCLAYS 40/40 CLUB BAR,BROOKLYN,American,A,620 ATLANTIC AVENUE 11217.0,40.68264990000001,-73.97541319999998,3
BARCLAYS LOWER SUITES TANDUAY BAR SOUTH CLUB LOUNGE,BROOKLYN,American,A,620 ATLANTIC AVENUE 11217.0,40.68264990000001,-73.97541319999998,1
BARCLAYS NORTH SUITE STOLI BAR,BROOKLYN,American,A,620 ATLANTIC AVENUE 11217.0,40.68264990000001,-73.97541319999998,2
BARCLAYS UPPER SUITE STOLI BAR AND STORAGE ROOM 5C29.03,BROOKLYN,American,A,620 ATLANTIC AVENUE 11217.0,40.68264990000001,-73.97541319999998,1
BARCLAYS/BK TACO,BROOKLYN,Barbecue,A,620 ATLANTIC AVENUE 11217.0,40.68264990000001,-73.97541319999998,1
BARCLAYS/CALEXICO,BROOKLYN,American,A,620 ATLANTIC AVENUE 11217.0,40.68264990000001,-73.97541319999998,0
BARCLAYSBUFFALO BOSS,BROOKLYN,Chicken,A,620 ATLANTIC AVENUE 11217.0,40.68264990000001,-73.97541319999998,3
BARJER CORP,MANHATTAN,American,A,522 COLUMBUS AVENUE 10024.0,40.786044,-73.97270920000001,4
BARNACHO,MANHATTAN,Mexican,A,920 2ND AVE 10017.0,40.7539991,-73.9688656,2
BARNEA BISTRO,MANHATTAN,Jewish/Kosher,A,211 E 46TH ST 10017.0,40.7531843,-73.97185400000001,3
BARNEY GREENGRASS,MANHATTAN,Jewish/Kosher,A,541 AMSTERDAM AVENUE 10024.0,40.78808739999999,-73.97432509999999,2
BARTOLINO'S FINE ITALIAN CUISINE,QUEENS,Italian,A,3415 BROADWAY 11106.0,40.7607085,-73.9223311,2
BARTOLINO'S FINE ITALIAN PIZZA,QUEENS,Pizza/Italian,A,3411 BROADWAY 11106.0,40.7607509,-73.9224411,3
BASQUIAT'S BOTTLE,BROOKLYN,American,A,1198 FULTON ST 11216.0,40.680360799999995,-73.95262609999999,1
BATEAUX NEW YORK,MANHATTAN,American,A,62 WEST 23 STREET - CHELSEA PIER nan,40.7424466,-73.9923898,2
BATI,BROOKLYN,Ethiopian,A,747 FULTON STREET 11217.0,40.6866468,-73.97476529999999,3
BAY PARKWAY SEAFOOD PALACE,BROOKLYN,Asian,Z,2172 86TH ST 11214.0,40.6020124,-73.9944235,5
BAY RIDGE MANOR CATERING,BROOKLYN,American,A,476 76 STREET 11209.0,40.6288417,-74.0236408,1
BAY TERRACE POOL & TENNIS CENTER,QUEENS,American,A,21200 23 AVENUE 11360.0,53.457219200000004,-113.5876139,2
BBQ CHICKEN,QUEENS,Chicken,A,15823 NORTHERN BLVD 11358.0,40.763414000000004,-73.80659870000001,1
BEACON THEATRE,MANHATTAN,American,A,2124 BROADWAY 10023.0,40.780456,-73.9810431,2
BEACON THEATRE (BALCONY BAR),MANHATTAN,American,A,2124 BROADWAY 10023.0,40.780456,-73.9810431,1
BEACON THEATRE (LOGE STAIRS BAR),MANHATTAN,American,A,2124 BROADWAY 10023.0,40.780456,-73.9810431,1
BEACON THEATRE (ORCHESTRA BAR/MAIN FLOOR),MANHATTAN,American,A,2124 BROADWAY 10023.0,40.780456,-73.9810431,1
BEACON THEATRE SATELLITE BAR,MANHATTAN,American,A,2124 BROADWAY 10023.0,40.780456,-73.9810431,1
BEACON THEATRE WINDOW BAR 2ND,MANHATTAN,American,A,2124 BROADWAY 10023.0,40.780456,-73.9810431,1
BEAN N BEAN,MANHATTAN,American,A,71 BROADWAY 10006.0,40.707471999999996,-74.012348,3
BEANS & VINES,MANHATTAN,American,A,4799 BROADWAY 10034.0,40.908288,-73.896564,2
BEATS KARAOKE CAFE,BROOKLYN,Korean,A,219 GRAND ST 11211.0,40.7138974,-73.95956919999998,1
BEBEFRITAY,BROOKLYN,Caribbean,A,1464 ROCKAWAY PKWY 11236.0,40.644398100000004,-73.90177690000002,2
BEDFORD & CO,MANHATTAN,American,A,118 E 40TH ST 10016.0,40.75019520000001,-73.97754549999998,3
BEDFORD FALLS,MANHATTAN,American,A,206 EAST   67 STREET 10065.0,40.7661414,-73.9625475,3
BEER PUB (BRIDGE PUB),MANHATTAN,American,A,4 PENN PLZ 10121.0,40.7505621,-73.99347089999998,0
BEER SHOP,MANHATTAN,American,Z,422 AMSTERDAM AVE 10024.0,40.784057700000005,-73.9778725,4
BELLA BLU,MANHATTAN,Italian,A,967 LEXINGTON AVENUE 10021.0,40.7692221,-73.96281970000003,1
BELLE HARBOR STEAKHOUSE,QUEENS,Steak,A,268 BEACH  116 STREET 11694.0,40.581303999999996,-73.8376928,2
BELLEROSE FAMOUS PIZZA,QUEENS,Pizza,Z,24822 UNION TURNPIKE 11426.0,40.7423096,-73.7210994,5
BELLI OSTERIA,BROOKLYN,Italian,A,860 FULTON STREET 11238.0,40.68327,-73.96654240000001,2
BEN'S PIZZA AND RESTAURANT,BROOKLYN,Pizza,Z,8125 3 AVENUE 11209.0,40.6264433,-74.0295459,6
BENNY'S BRICK OVEN PIZZA,BROOKLYN,Pizza,A,419 KINGSTON AVE 11225.0,40.6645883,-73.9424243,2
BENNY'S CHAO KING RESTAURANT,MANHATTAN,Chinese,Z,906 COLUMBUS AVE 10025.0,40.798287200000004,-73.96378409999998,5
BENVENUTI,MANHATTAN,Pizza/Italian,A,235 S END AVE 10280.0,40.7096597,-74.01674090000002,2
BERGEN BAGELS,BROOKLYN,Bagels/Pretzels,A,949 FULTON STREET 11238.0,40.6833091,-73.96504999999998,2
BERGER'S ON THE GO,MANHATTAN,Delicatessen,Z,2 EAST 39 STREET 10016.0,40.7475867,-73.97308470000002,5
BERIKONI,BROOKLYN,Middle Eastern,A,125 BRIGHTON BEACH AVE 11235.0,40.5765068,-73.9674878,2
BERNIE'S,BROOKLYN,American,Z,332 DRIGGS AVE 11222.0,40.7219248,-73.95059300000001,4
BERRY PARK,BROOKLYN,American,A,6-Apr BERRY STREET 11249.0,40.7159287,-73.96191529999999,3
BESSEMER TRUST CO,MANHATTAN,American,A,630 5TH AVE 10020.0,40.758995,-73.97729809999998,1
BEST BAKERY,BROOKLYN,Chinese,Z,5812 8 AVENUE 11220.0,40.6364955,-74.00888940000002,5
BEST BURGER PALACE,BROOKLYN,American,Z,986 ATLANTIC AVE 11238.0,40.6802565,-73.96138559999999,3
BEST COFFEE SHOP,BROOKLYN,American,A,4410 FT HAMILTON PARKWAY 11219.0,40.6407186,-73.99458419999998,3
BEST SALAD,QUEENS,Chinese,A,9040 160TH ST 11432.0,40.7041902,-73.79976900000003,2
BEST WESTERN PREMIER HERALD SQUARE,MANHATTAN,American,A,48 W 36TH ST 10018.0,40.7504308,-73.9855961,3
BEST WINGERS,MANHATTAN,Chicken,A,174 DELANCEY ST 10002.0,40.7179205,-73.98504609999998,5
BETTER GOURMET HEALTH KITCHEN,STATEN ISLAND,Sandwiches/Salads/Mixed Buffet,A,877 HUGUENOT AVE 10312.0,40.533024,-74.1921993,1
BIG AL'S CHICAGO STYLE PIZZA,STATEN ISLAND,Pizza/Italian,A,4069 HYLAN BLVD 10308.0,40.5406803,-74.14774840000001,2
BIG ALS CHICAGO PIZZA,MANHATTAN,Pizza,A,9 THAMES STREET 10006.0,41.4934062,-71.3157011,1
BIG APPLE CHINESE & JAPANESE RESTAURANT,QUEENS,Chinese/Japanese,Z,3255 FRANCIS LEWIS BLVD 11358.0,40.768083600000004,-73.79068259999998,4
BILLY'S SPORT BAR RESTAURANT & LOUNGE,BRONX,American,A,856 RIVER AVENUE 10451.0,40.82721110000001,-73.9259015,2
